HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:33788	C11orf87	chromosome 11 open reading frame 87	Approved		LOH11CR1A, LOC399947, NEURIM1	11q22.3	AB096240, BC035798	NM_207645	399947
HGNC:25061	C11orf88	chromosome 11 open reading frame 88	Approved		FLJ46266	11q23.1	BC039505, AK128145	NM_001100388	399949
HGNC:34444	C11orf91	chromosome 11 open reading frame 91	Approved			11p13	AL049629	XM_001717207	100131378
HGNC:37213	C11orf94	chromosome 11 open reading frame 94	Approved			11p11.2		NM_001080446	143678
HGNC:28449	C11orf95	chromosome 11 open reading frame 95	Approved		MGC3032	11q13.1	BC000572, AK096306	NM_001144936	65998
HGNC:38675	C11orf96	chromosome 11 open reading frame 96	Approved		AG2	11p11.2		NM_001145033	387763
HGNC:49544	C11orf97	chromosome 11 open reading frame 97	Approved	LINC01171		11q21			643037
HGNC:51238	C11orf98	chromosome 11 open reading frame 98	Approved	C11orf48		11q12.3		NM_001286086	102288414
HGNC:49784	C11orf98P1	chromosome 11 open reading frame 98 pseudogene 1	Approved			9p22.1			106480289
HGNC:1184	C12orf4	chromosome 12 open reading frame 4	Approved			12p13.32	AJ272205	NM_020374	57102
HGNC:17590	C12orf10	chromosome 12 open reading frame 10	Approved		MYG, MYG1, Gamm1	12q13.13	AF289485	NM_021640	60314
HGNC:25322	C12orf29	chromosome 12 open reading frame 29	Approved		DKFZp434N2030	12q21.32	AL137488	NM_001009894	91298
HGNC:26846	C12orf40	chromosome 12 open reading frame 40	Approved		FLJ40126	12q12	AK097445	NM_173599	283461
HGNC:24729	C12orf42	chromosome 12 open reading frame 42	Approved		FLJ25323	12q23.2	AK058052	NM_198521	374470
HGNC:25719	C12orf43	chromosome 12 open reading frame 43	Approved		FLJ12448	12q24.31	AK022510	NM_022895	64897
HGNC:28628	C12orf45	chromosome 12 open reading frame 45	Approved		MGC40397	12q23.3	BC032326	NM_152318	121053
HGNC:26128	C12orf49	chromosome 12 open reading frame 49	Approved		FLJ21415	12q24.22	AK025068	NM_024738	79794
HGNC:26665	C12orf50	chromosome 12 open reading frame 50	Approved		FLJ35821	12q21.32	AK093140	NM_152589	160419
HGNC:28553	C12orf54	chromosome 12 open reading frame 54	Approved		MGC35033	12q13.11	BC031670	NM_152319	121273
HGNC:26967	C12orf56	chromosome 12 open reading frame 56	Approved			12q14.2		NM_001099676	115749
HGNC:29521	C12orf57	chromosome 12 open reading frame 57	Approved		GRCC10, C10	12p13.31	U47924	NM_138425	113246
HGNC:28726	C12orf60	chromosome 12 open reading frame 60	Approved		MGC47869	12p12.3	BC038836	NM_175874	144608
HGNC:26784	C12orf65	chromosome 12 open reading frame 65	Approved		FLJ38663, SPG55	12q24.31	AK095982	NM_152269	91574
HGNC:26517	C12orf66	chromosome 12 open reading frame 66	Approved		FLJ32549	12q14.2		NM_152440	144577
HGNC:34452	C12orf71	chromosome 12 open reading frame 71	Approved		LOC728858	12p11.23		NM_001080406	728858
HGNC:34450	C12orf73	chromosome 12 open reading frame 73	Approved		FLJ13975, DKFZp547P055	12q23.3	AK024037	NM_001135570	728568
HGNC:27887	C12orf74	chromosome 12 open reading frame 74	Approved			12q22	BC043363	NM_001037671	338809
HGNC:35164	C12orf75	chromosome 12 open reading frame 75	Approved		OCC-1, OCC1, AGD3	12q23.3	AK056999	NM_001145199	387882
HGNC:33790	C12orf76	chromosome 12 open reading frame 76	Approved		FLJ40142	12q24.11	BC041968	NM_207435	400073
HGNC:27282	C12orf77	chromosome 12 open reading frame 77	Approved			12p12.1	BC046192	NM_001101339	196415
HGNC:27473	C12orf80	chromosome 12 open reading frame 80	Approved			12q13.13	BC038743	NM_001242696	283403
HGNC:53646	C12orf81	chromosome 12 open reading frame 81	Approved		hCG1648055	12q13.13			
HGNC:42693	C13orf42	chromosome 13 open reading frame 42	Approved	LINC00371		13q14.3		NM_001351589	647166
HGNC:1188	C14orf2	chromosome 14 open reading frame 2	Approved		MP68, MLQ, 6.8PL	14q32.33	AF054175	NM_001127393	9556
HGNC:19834	C14orf28	chromosome 14 open reading frame 28	Approved		DRIP-1	14q21.2	AA496212	NM_001017923	122525
HGNC:19846	C14orf37	chromosome 14 open reading frame 37	Approved		UT2	14q23.1		NM_001001872	145407
HGNC:19849	C14orf39	chromosome 14 open reading frame 39	Approved		SIX6OS1	14q23.1	AK098187	NM_174978	317761
HGNC:20162	C14orf93	chromosome 14 open reading frame 93	Approved		FLJ12154, RTFC	14q11.2	AK023026	NM_021944	60686
HGNC:20270	C14orf119	chromosome 14 open reading frame 119	Approved		FLJ20671	14q11.2		NM_017924	55017
HGNC:20346	C14orf132	chromosome 14 open reading frame 132	Approved	C14orf88		14q32.2	AL390130	NM_001252507	56967
HGNC:20358	C14orf144	chromosome 14 open reading frame 144	Approved			14q32.33	BC007749		145195
HGNC:26375	C14orf177	chromosome 14 open reading frame 177	Approved		FLJ25773	14q32.2	AK098639	NM_182560	283598
HGNC:26385	C14orf178	chromosome 14 open reading frame 178	Approved		FLJ25976	14q24.3	AK098842	NM_174943	283579
HGNC:33795	C14orf180	chromosome 14 open reading frame 180	Approved	C14orf77	NRAC	14q32.33		NM_001008404	400258
HGNC:26549	C15orf32	chromosome 15 open reading frame 32	Approved		FLJ32831	15q26.1		NM_153040	145858
HGNC:38824	C15orf38-AP3S2	C15orf38-AP3S2 readthrough	Approved			15q26.1		NM_001199058.1	100526783
HGNC:24497	C15orf39	chromosome 15 open reading frame 39	Approved		DKFZP434H132, FLJ46337	15q24.2	AK128205	NM_015492	56905
HGNC:28443	C15orf40	chromosome 15 open reading frame 40	Approved		MGC29937	15q25.2	BC019820	NM_144597	123207
HGNC:26929	C15orf41	chromosome 15 open reading frame 41	Approved		HH114, MGC11326, FLJ22851	15q14	BC006254	NM_032499	84529
HGNC:29898	C15orf48	chromosome 15 open reading frame 48	Approved		NMES1, MIR147BHG	15q21.1		NM_032413	84419
HGNC:33488	C15orf52	chromosome 15 open reading frame 52	Approved		FLJ43339	15q15.1	AK124643	NM_207380	388115
HGNC:33796	C15orf53	chromosome 15 open reading frame 53	Approved		FLJ35695	15q14		NM_207444	400359
HGNC:33797	C15orf54	chromosome 15 open reading frame 54	Approved		FLJ39531	15q14		NM_207445	400360
HGNC:33868	C15orf56	chromosome 15 open reading frame 56	Approved		FLJ38596	15q15.1		NM_001039905	644809
HGNC:33753	C15orf59	chromosome 15 open reading frame 59	Approved		MGC131524, LOC388135, INSYN1	15q24.1		NM_001039614	388135
HGNC:51422	C15orf59-AS1	C15orf59 antisense RNA 1	Approved		TCONS_00023459	15q24.1		NR_120352	101929221
HGNC:34453	C15orf61	chromosome 15 open reading frame 61	Approved		LOC145853	15q23		NM_001143936	145853
HGNC:34489	C15orf62	chromosome 15 open reading frame 62	Approved		LOC643338	15q15.1		NM_001130448	643338
HGNC:44654	C15orf65	chromosome 15 open reading frame 65	Approved		FLJ27352	15q21.3			145788
HGNC:19213	C16orf45	chromosome 16 open reading frame 45	Approved		FLJ32618	16p13.11	AK057180	NM_033201	89927
HGNC:26525	C16orf46	chromosome 16 open reading frame 46	Approved		FLJ32702	16q23.2	BC064143	NM_152337	123775
HGNC:28329	C16orf47	chromosome 16 open reading frame 47	Approved		FLJ26184	16q22.3	AK129695		388289
HGNC:27087	C16orf52	chromosome 16 open reading frame 52	Approved			16p12.2	BC027604	NM_001164579	730094
HGNC:26649	C16orf54	chromosome 16 open reading frame 54	Approved		FLJ35681	16p11.2	AK093000	NM_175900	283897
HGNC:25848	C16orf58	chromosome 16 open reading frame 58	Approved		FLJ13868	16p11.2	AK023930	NM_022744	64755
HGNC:24641	C16orf62	chromosome 16 open reading frame 62	Approved		MGC16824	16p12.3		NM_020314	57020
HGNC:29564	C16orf70	chromosome 16 open reading frame 70	Approved	C16orf6, LIN10	lin-10, FLJ12076	16q22.1	AK022138	NM_025187	80262
HGNC:25081	C16orf71	chromosome 16 open reading frame 71	Approved		FLJ43261, DKFZp686H2240	16p13.3	AF447587	NM_139170	146562
HGNC:30103	C16orf72	chromosome 16 open reading frame 72	Approved		FLJ41272, PRO0149	16p13.2	AK123266	NM_014117	29035
HGNC:23362	C16orf74	chromosome 16 open reading frame 74	Approved		MGC17624	16q24.1	BC009078	NM_206967	404550
HGNC:28479	C16orf78	chromosome 16 open reading frame 78	Approved		MGC33367	16q12.1	BC021181	NM_144602	123970
HGNC:30755	C16orf82	chromosome 16 open reading frame 82	Approved		TNT	16p12.1	BC031257	NM_001145545	162083
HGNC:33755	C16orf86	chromosome 16 open reading frame 86	Approved		FLJ41802	16q22.1		NM_001012984	388284
HGNC:33754	C16orf87	chromosome 16 open reading frame 87	Approved			16q11.2		NM_001001436	388272
HGNC:28687	C16orf89	chromosome 16 open reading frame 89	Approved		MGC45438	16p13.3		NM_152459	146556
HGNC:34455	C16orf90	chromosome 16 open reading frame 90	Approved		LOC646174	16p13.3		NM_001080524	646174
HGNC:27558	C16orf91	chromosome 16 open reading frame 91	Approved		gs103, CCSMST1, URLC5	16p13.3	BC023590	NM_001010878	283951
HGNC:26346	C16orf92	chromosome 16 open reading frame 92	Approved		FLJ25404	16p11.2	AK058133	NM_001109659	146378
HGNC:40033	C16orf95	chromosome 16 open reading frame 95	Approved			16q24.2		NM_001195124	100506581
HGNC:40031	C16orf96	chromosome 16 open reading frame 96	Approved			16p13.3		NM_001145011	342346
HGNC:44658	C16orf97	chromosome 16 open reading frame 97	Approved			16q12.1		NM_001242473	388276
HGNC:26844	C17orf47	chromosome 17 open reading frame 47	Approved		FLJ40121	17q22		NM_001038704	284083
HGNC:28737	C17orf49	chromosome 17 open reading frame 49	Approved		MGC49942, BAP18, HEPIS	17p13.1	AK055800	NM_174893	124944
HGNC:29581	C17orf50	chromosome 17 open reading frame 50	Approved			17q12	BC021727	NM_145272	146853
HGNC:27904	C17orf51	chromosome 17 open reading frame 51	Approved		FLJ12977, FLJ31874, FLJ33618	17p11.2	BC010612	NM_001113434	339263
HGNC:28460	C17orf53	chromosome 17 open reading frame 53	Approved		MGC3130	17q21.31	AK021656	NM_024032	78995
HGNC:27568	C17orf58	chromosome 17 open reading frame 58	Approved			17q24.2	AK026583	NM_181656	284018
HGNC:28672	C17orf62	chromosome 17 open reading frame 62	Approved		MGC4368, FLJ90469	17q25.3	AK074950	NM_001033046	79415
HGNC:26990	C17orf64	chromosome 17 open reading frame 64	Approved			17q23.2	BC048806	NM_181707	124773
HGNC:27900	C17orf67	chromosome 17 open reading frame 67	Approved			17q22	BC041467	NM_001085430	339210
HGNC:30173	C17orf75	chromosome 17 open reading frame 75	Approved		NJMU-R1, SRI2	17q11.2	AB062437	NM_022344	64149
HGNC:26480	C17orf77	chromosome 17 open reading frame 77	Approved		FLJ31882	17q25.1		NM_152460	146723
HGNC:26831	C17orf78	chromosome 17 open reading frame 78	Approved		FLJ39647	17q12	BC034672	NM_173625	284099
HGNC:29601	C17orf80	chromosome 17 open reading frame 80	Approved		HLC-8, MIG3, FLJ20721, SPEP1	17q25.1	AY163812	NM_017941	55028
HGNC:32699	C17orf82	chromosome 17 open reading frame 82	Approved			17q23.2	BC046200	NM_203425	388407
HGNC:33800	C17orf97	chromosome 17 open reading frame 97	Approved		LOC400566, LIAT1	17p13.3	AK128660, BC057385	NM_001013672	400566
HGNC:34492	C17orf98	chromosome 17 open reading frame 98	Approved		LOC388381	17q12	AC006449, DY654789	NM_001080465	388381
HGNC:34490	C17orf99	chromosome 17 open reading frame 99	Approved		GLPG464, UNQ464	17q25.3	AY358510	NM_001163075	100141515
HGNC:34494	C17orf100	chromosome 17 open reading frame 100	Approved		LOC388327	17p13.1	BC028174, BC038956, BC052606	NM_001105520	388327
HGNC:34412	C17orf102	chromosome 17 open reading frame 102	Approved		FLJ44815	17q12		NM_207454	400591
HGNC:37241	C17orf105	chromosome 17 open reading frame 105	Approved			17q21.31		NM_001136483	284067
HGNC:37238	C17orf107	chromosome 17 open reading frame 107	Approved			17p13.2	AK128415	NM_001145536	100130311
HGNC:42963	C17orf112	chromosome 17 open reading frame 112	Approved			17q22		NM_001243552	100506650
HGNC:53437	C17orf113	chromosome 17 open reading frame 113	Approved			17q21.2			110806298
HGNC:24326	C18orf8	chromosome 18 open reading frame 8	Approved		MIC1, MIC-1, HsT2591	18q11.2	AK057192	NM_013326	29919
HGNC:24918	C18orf12	chromosome 18 open reading frame 12	Approved		HEIL1, HsT2508	18q21.1	AB027121		84322
HGNC:26447	C18orf15	chromosome 18 open reading frame 15	Approved		FLJ31338, HsT3231	18p11.21	AK055900		147276
HGNC:28802	C18orf21	chromosome 18 open reading frame 21	Approved		PNAS-131, PNAS-124, HsT3108	18q12.2	BC025950	NM_031446	83608
HGNC:28172	C18orf25	chromosome 18 open reading frame 25	Approved		MGC12909, ARKL1, RNF111L1	18q21.1	AL713661	NM_145055	147339
HGNC:31690	C18orf32	chromosome 18 open reading frame 32	Approved		FLJ23458	18q21.1	AK027111	NM_001035005	497661
HGNC:13796	C18orf54	chromosome 18 open reading frame 54	Approved		MGC33382, LAS2	18q21.2	AK126503	NM_173529	162681
HGNC:40037	C18orf63	chromosome 18 open reading frame 63	Approved		DKFZP781G0119	18q22.3		NM_001174123	644041
HGNC:51248	C18orf65	chromosome 18 open reading frame 65	Approved			18q23		NM_001272093	400658
HGNC:25443	C19orf12	chromosome 19 open reading frame 12	Approved	SPG43	MGC10922, DKFZP762D096, NBIA4, MPAN	19q12	AK057185	NM_031448	83636
HGNC:28642	C19orf18	chromosome 19 open reading frame 18	Approved		MGC41906	19q13.43	BC033933	NM_152474	147685
HGNC:26073	C19orf24	chromosome 19 open reading frame 24	Approved		FLJ20640	19p13.3	BC000890	NM_017914	55009
HGNC:26711	C19orf25	chromosome 19 open reading frame 25	Approved		FLJ36666	19p13.3	AK075267	NM_152482	148223
HGNC:16668	C19orf33	chromosome 19 open reading frame 33	Approved		IMUP-1, IMUP-2, H2RSP, IMUP	19q13.2	AF213678	NM_033520	64073
HGNC:34073	C19orf38	chromosome 19 open reading frame 38	Approved		HIDE1	19p13.2		NM_001136482	255809
HGNC:26141	C19orf44	chromosome 19 open reading frame 44	Approved		FLJ21742	19p13.11	AK025395	NM_032207	84167
HGNC:26723	C19orf47	chromosome 19 open reading frame 47	Approved		FLJ36888	19q13.2	AL834131	NM_178830	126526
HGNC:29667	C19orf48	chromosome 19 open reading frame 48	Approved		MGC13170, BC006151	19q13.33	BC037227	NM_032712	84798
HGNC:24991	C19orf53	chromosome 19 open reading frame 53	Approved		HSPC023, LYDG10	19p13.13	AF078852	NM_014047	28974
HGNC:24758	C19orf54	chromosome 19 open reading frame 54	Approved		FLJ41131	19q13.2	AK123126	NM_198476	284325
HGNC:28153	C19orf57	chromosome 19 open reading frame 57	Approved		MGC11271	19p13.12	BC012945	NM_024323	79173
HGNC:25649	C19orf66	chromosome 19 open reading frame 66	Approved		FLJ11286, RyDEN, IRAV	19p13.2		NM_018381	55337
HGNC:34354	C19orf67	chromosome 19 open reading frame 67	Approved			19p13.12		NM_001277378	646457
HGNC:33702	C19orf70	chromosome 19 open reading frame 70	Approved		QIL1, P117, MIC13	19p13.3	BC009557	NM_205767	125988
HGNC:34496	C19orf71	chromosome 19 open reading frame 71	Approved		LOC100128569	19p13.3		NM_001135580	100128569
HGNC:25534	C19orf73	chromosome 19 open reading frame 73	Approved		FLJ10490	19q13.33	AK001352	NM_018111	55150
HGNC:40041	C19orf81	chromosome 19 open reading frame 81	Approved			19q13.33		NM_001195076	342918
HGNC:27112	C19orf84	chromosome 19 open reading frame 84	Approved			19q13.41	BC043532, BC085012	NM_001193623	147646
HGNC:53653	C19orf85	chromosome 19 open reading frame 85	Approved			19q13.42			111064650
HGNC:15870	C20orf24	chromosome 20 open reading frame 24	Approved		PNAS-11, RIP5	20q11.23	AF112213	NM_018840	55969
HGNC:15873	C20orf27	chromosome 20 open reading frame 27	Approved		FLJ20550	20p13	AK000557	NM_001039140	54976
HGNC:16210	C20orf78	chromosome 20 open reading frame 78	Approved		dJ1068E13.1	20p11.23	AL035563	NM_178462	100128496
HGNC:16216	C20orf85	chromosome 20 open reading frame 85	Approved		bA196N14.1, LLC1	20q13.32	AL354776	NM_178456	128602
HGNC:16227	C20orf96	chromosome 20 open reading frame 96	Approved		dJ1103G7.2	20p13	AL034548	NM_153269	140680
HGNC:16134	C20orf141	chromosome 20 open reading frame 141	Approved		dJ860F19.4	20p13		NM_080739	128653
HGNC:16137	C20orf144	chromosome 20 open reading frame 144	Approved		dJ63M2.6, bclt	20q11.22	AL121906	NM_080825	128864
HGNC:26393	C20orf166-AS1	C20orf166 antisense RNA 1	Approved	C20orf200, NCRNA00335	FLJ30313	20q13.33	AK054875	NR_033263	253868
HGNC:16166	C20orf173	chromosome 20 open reading frame 173	Approved		dJ477O4.4	20q11.22	AL121586	NM_001145350	140873
HGNC:16174	C20orf181	chromosome 20 open reading frame 181	Approved		dJ824A14.1	20q13.33	U63828		100128998
HGNC:16180	C20orf187	chromosome 20 open reading frame 187	Approved		dJ727I10.1	20p12.2	AL050322		728434
HGNC:17721	C20orf194	chromosome 20 open reading frame 194	Approved		DKFZp434N061	20p13	AL110249	NM_001009984	25943
HGNC:26318	C20orf196	chromosome 20 open reading frame 196	Approved		FLJ25067	20p12.3	AK057796	NM_152504	149840
HGNC:26601	C20orf197	chromosome 20 open reading frame 197	Approved		FLJ33860	20q13.33	AK091179	NM_173644	284756
HGNC:37254	C20orf202	chromosome 20 open reading frame 202	Approved			20p13		NM_001009612	400831
HGNC:26592	C20orf203	chromosome 20 open reading frame 203	Approved		FLJ33706	20q11.21	AK091025	NM_182584	284805
HGNC:27655	C20orf204	chromosome 20 open reading frame 204	Approved	PRR17, NCRNA00176, LINC00176	DKFZp434G015, FLJ27267	20q13.33		NM_001348090	284739
HGNC:1260	C21orf2	chromosome 21 open reading frame 2	Approved		YF5, A2, LRRC76	21q22.3	Y11392	NM_004928	755
HGNC:1273	C21orf33	chromosome 21 open reading frame 33	Approved		KNP-Ia, GT335, ES1, HES1, D21S2048E, KNPI, KNPH, KNP-I	21q22.3	Y07572	NM_004649	8209
HGNC:1300	C21orf58	chromosome 21 open reading frame 58	Approved			21q22.3		NM_058180	54058
HGNC:1301	C21orf59	chromosome 21 open reading frame 59	Approved	C21orf48	FLJ20467, FBB18, CILD26, Kur	21q22.11	AF282851	NM_021254	56683
HGNC:1305	C21orf62	chromosome 21 open reading frame 62	Approved	C21orf120	B37, PRED81	21q22.11	AF231922	NM_019596	56245
HGNC:1290	C21orf62-AS1	C21orf62 antisense RNA 1	Approved	C21orf49		21q22.11		NR_024622	54067
HGNC:16459	C21orf91	chromosome 21 open reading frame 91	Approved	C21orf38, C21orf14	YG81, EURL, CSSG1	21q21.1	AF239726	NM_017447	54149
HGNC:16729	C21orf91-OT1	C21orf91 overlapping transcript 1	Approved	NCRNA00285	D21S2089E	21q21.1	AY063452, AY063453		246312
HGNC:39602	C21orf140	chromosome 21 open reading frame 140	Approved			21q22.12			101928147
HGNC:15558	C22orf15	chromosome 22 open reading frame 15	Approved		FLJ36561, N27C7-3	22q11.23	AB050773	NM_182520	150248
HGNC:18589	C22orf23	chromosome 22 open reading frame 23	Approved		FLJ32787, EVG1, LOC84645	22q13.1	AF324466	NM_032561	84645
HGNC:23051	C22orf24	chromosome 22 open reading frame 24	Approved		HSN44A4A	22q12.3		NM_015372	25775
HGNC:26931	C22orf31	chromosome 22 open reading frame 31	Approved		HS747E2A, bK747E2.1	22q12.1	AL035364	NM_015370	25770
HGNC:28010	C22orf34	chromosome 22 open reading frame 34	Approved			22q13.33	BC048207	NR_026997	348645
HGNC:27012	C22orf39	chromosome 22 open reading frame 39	Approved		MGC74441	22q11.21		NM_173793	128977
HGNC:27160	C22orf42	chromosome 22 open reading frame 42	Approved			22q12.3	BC040263	NM_001010859	150297
HGNC:26294	C22orf46	chromosome 22 open reading frame 46	Approved		FLJ23584, CTA-216E10.6	22q13.2	BC007210	NM_024588	79640
HGNC:1368	CA1	carbonic anhydrase 1	Approved		Car1	8q21.2	M33987	NM_001738	759
HGNC:1373	CA2	carbonic anhydrase 2	Approved		Car2, CA-II, CAII	8q21.2	J03037	NM_000067	760
HGNC:1374	CA3	carbonic anhydrase 3	Approved		Car3, CAIII	8q21.2	AJ006473	NM_005181	761
HGNC:51657	CA3-AS1	CA3 antisense RNA 1	Approved			8q21.2		NR_121630	100996348
HGNC:1375	CA4	carbonic anhydrase 4	Approved	RP17	CAIV, Car4	17q23.1	L10955	NM_000717	762
HGNC:1377	CA5A	carbonic anhydrase 5A	Approved	CA5	CAV, CAVA	16q24.2	L19297	NM_001739	763
HGNC:1379	CA5AP1	carbonic anhydrase 5A pseudogene 1	Approved	CA5P		16p11.2			764
HGNC:1378	CA5B	carbonic anhydrase 5B	Approved			Xp22.2	AB021660	NM_007220	11238
HGNC:29544	CA5BP1	carbonic anhydrase 5B pseudogene 1	Approved	CA5BL, CA5BP	PRO2325	Xp22.2	BC021816	NR_026551	340591
HGNC:1380	CA6	carbonic anhydrase 6	Approved			1p36.23	M57892		765
HGNC:1381	CA7	carbonic anhydrase 7	Approved			16q22.1			766
HGNC:1382	CA8	carbonic anhydrase 8	Approved	CALS	CARP	8q12.1	L04656		767
HGNC:1383	CA9	carbonic anhydrase 9	Approved		MN, CAIX	9p13.3	X66839	NM_001216	768
HGNC:1369	CA10	carbonic anhydrase 10	Approved		CARPX, CA-RPX, HUCEP-15	17q21.33-q22	AF288385	NM_020178	56934
HGNC:1370	CA11	carbonic anhydrase 11	Approved		CARP2, CARPX1	19q13.33	AF067662	NM_001217	770
HGNC:1371	CA12	carbonic anhydrase 12	Approved		HsT18816	15q22.2	AF051882	NM_001218	771
HGNC:14914	CA13	carbonic anhydrase 13	Approved		CAXIII, FLJ37995, MGC59868	8q21.2	BC052602	NM_198584	377677
HGNC:1372	CA14	carbonic anhydrase 14	Approved			1q21.2	AB025904	NM_012113	23632
HGNC:44364	CA15P1	carbonic anhydrase 15 pseudogene 1	Approved			22q11.21			100996435
HGNC:14916	CA15P2	carbonic anhydrase 15 pseudogene 2	Approved			22q11.21			440795
HGNC:44363	CA15P3	carbonic anhydrase 15 pseudogene 3	Approved			22q11.21			100996556
HGNC:25834	CAAP1	caspase activity and apoptosis inhibitor 1	Approved	C9orf82	FLJ13657, CAAP	9p21.2	BC014658	NM_024828	79886
HGNC:20292	CAB39	calcium binding protein 39	Approved		CGI-66, MO25	2q37.1	AF113536	NM_016289	51719
HGNC:20290	CAB39L	calcium binding protein 39 like	Approved		bA103J18.3, FLJ12577, MO2L	13q14.2	AK022639	NM_030925	81617
HGNC:51641	CAB39P1	calcium binding protein 39 pseudogene 1	Approved			5q12.1			106481732
HGNC:28678	CABCOCO1	ciliary associated calcium binding coiled-coil 1	Approved	C10orf107	bA63A2.1, Em:AC022398.2, MGC44593	10q21.2	BC041932	NM_173554	219621
HGNC:24187	CABIN1	calcineurin binding protein 1	Approved		KIAA0330, PPP3IN	22q11.23	AF072441	NM_012295	23523
HGNC:25097	CABLES1	Cdk5 and Abl enzyme substrate 1	Approved		HsT2563, FLJ35924	18q11.2	BC037218	NM_138375	91768
HGNC:16143	CABLES2	Cdk5 and Abl enzyme substrate 2	Approved	C20orf150	dJ908M14.2, ik3-2	20q13.33	BC003122	NM_031215	81928
HGNC:1384	CABP1	calcium binding protein 1	Approved			12q24.31	AF169148	NM_001033677	9478
HGNC:1385	CABP2	calcium binding protein 2	Approved	DFNB93		11q13.2	AF169154		51475
HGNC:1386	CABP4	calcium binding protein 4	Approved		CSNB2B	11q13.2	AC005849		57010
HGNC:13714	CABP5	calcium binding protein 5	Approved	CABP3	CaBP3	19q13.33	AF169159	NM_019855	56344
HGNC:20834	CABP7	calcium binding protein 7	Approved		MGC57793	22q12.2	BC051805	NM_182527	164633
HGNC:30710	CABS1	calcium binding protein, spermatid associated 1	Approved	C4orf35	NYD-SP26, FLJ32897, CLPH	4q13.3	AF380838	NM_033122	85438
HGNC:15569	CABYR	calcium binding tyrosine phosphorylation regulated	Approved		FSP-2, CBP86, CT88	18q11.2	AF088868	NM_153770	26256
HGNC:31902	CABYRP1	calcium binding tyrosine phosphorylation regulated pseudogene 1	Approved	CABYRP		3p21.1		NG_002394	266954
HGNC:1387	CACD	central areolar choroidal dystrophy	Approved			17p13			772
HGNC:1365	CACFD1	calcium channel flower domain containing 1	Approved	C9orf7	D9S2135, flower	9q34.2		NM_017586	11094
HGNC:29314	CACHD1	cache domain containing 1	Approved	VWCD1	KIAA1573	1p31.3	AB046793	NM_020925	57685
HGNC:1388	CACNA1A	calcium voltage-gated channel subunit alpha1 A	Approved	CACNL1A4, SCA6, MHP1, MHP	Cav2.1, EA2, APCA, HPCA, FHM	19p13.13	U79666	NM_000068	773
HGNC:1389	CACNA1B	calcium voltage-gated channel subunit alpha1 B	Approved	CACNL1A5	Cav2.2, CACNN	9q34.3	AB209467	NM_000718	774
HGNC:1390	CACNA1C	calcium voltage-gated channel subunit alpha1 C	Approved	CCHL1A1, CACNL1A1	Cav1.2, CACH2, CACN2, TS, LQT8	12p13.33	AF070589	NM_000719	775
HGNC:40119	CACNA1C-AS1	CACNA1C antisense RNA 1	Approved			12p13.33			100652846
HGNC:40118	CACNA1C-AS2	CACNA1C antisense RNA 2	Approved			12p13.33			100874235
HGNC:40117	CACNA1C-AS3	CACNA1C antisense RNA 3	Approved			12p13.33			106478964
HGNC:40116	CACNA1C-AS4	CACNA1C antisense RNA 4	Approved			12p13.33			100874234
HGNC:41312	CACNA1C-IT1	CACNA1C intronic transcript 1	Approved			12p13.33			107984540
HGNC:41313	CACNA1C-IT2	CACNA1C intronic transcript 2	Approved			12p13.33			100874369
HGNC:41314	CACNA1C-IT3	CACNA1C intronic transcript 3	Approved			12p13.33			100874370
HGNC:1391	CACNA1D	calcium voltage-gated channel subunit alpha1 D	Approved	CCHL1A2, CACNL1A2	Cav1.3, CACH3, CACN4	3p21.1	AB209171	NM_000720	776
HGNC:1392	CACNA1E	calcium voltage-gated channel subunit alpha1 E	Approved	CACNL1A6	Cav2.3, BII, CACH6	1q25.3	AK096563	NM_000721	777
HGNC:1393	CACNA1F	calcium voltage-gated channel subunit alpha1 F	Approved	CSNB2, AIED	Cav1.4, JM8, JMC8, CSNBX2, CORDX3, CSNB2A, OA2	Xp11.23	AA019975	NM_005183	778
HGNC:1394	CACNA1G	calcium voltage-gated channel subunit alpha1 G	Approved		Cav3.1, NBR13	17q21.33	AC004590	NM_018896	8913
HGNC:27377	CACNA1G-AS1	CACNA1G antisense RNA 1	Approved			17q21.33		NR_038439	253962
HGNC:1395	CACNA1H	calcium voltage-gated channel subunit alpha1 H	Approved		Cav3.2	16p13.3	AL031703	NM_001005407	8912
HGNC:1396	CACNA1I	calcium voltage-gated channel subunit alpha1 I	Approved		Cav3.3	22q13.1	AF129133	NM_001003406	8911
HGNC:1397	CACNA1S	calcium voltage-gated channel subunit alpha1 S	Approved	HOKPP, MHS5, CACNL1A3	Cav1.1, hypoPP	1q32.1	L33798	NM_000069	779
HGNC:1399	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	Approved	CACNL2A, CACNA2, MHS3, LINC01112	lncRNA-N3	7q21.11	M76559		781
HGNC:1400	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	Approved		KIAA0558	3p21.31	AF040709	NM_006030	9254
HGNC:15460	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Approved		HSA272268	3p21.1-p14.3	AJ272268		55799
HGNC:40702	CACNA2D3-AS1	CACNA2D3 antisense RNA 1	Approved			3p14.3			100874237
